scenario,model_name,best_trial_id,best_validation_macro_f1,best_validation_weighted_f1,best_validation_accuracy,best_tfidf_params_json,best_model_params_json,best_effective_model_params_json,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,model_path,vectorizer_path,label_encoder_path
05_Balanced,RandomForest,17,0.5795625138085282,0.6542189025855698,0.6714456391875747,"{""analyzer"": ""word"", ""max_features"": 20000, ""ngram_range"": [1, 1], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 300, ""max_depth"": 100, ""max_features"": ""log2"", ""min_samples_leaf"": 1}","{""n_estimators"": 300, ""max_depth"": 100, ""max_features"": ""log2"", ""min_samples_leaf"": 1}",0.7088305489260143,0.6909558923122733,0.5988246280791605,0.6139094660469855,0.6923009033615655,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/RandomForest/label_encoder.joblib
04_No_Stopwords,RandomForest,17,0.5788321146409138,0.6520380974626894,0.6762246117084827,"{""analyzer"": ""word"", ""max_features"": 20000, ""ngram_range"": [1, 1], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 300, ""max_depth"": 100, ""max_features"": ""log2"", ""min_samples_leaf"": 1}","{""n_estimators"": 300, ""max_depth"": 100, ""max_features"": ""log2"", ""min_samples_leaf"": 1}",0.6957040572792362,0.7424111257317066,0.5653150074457826,0.5955628609034089,0.6752261694179976,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/RandomForest/label_encoder.joblib
01_Raw_Data,RandomForest,11,0.5697750815965782,0.6285652488180238,0.6439665471923537,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 100, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""n_estimators"": 200, ""max_depth"": 100, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.6766109785202864,0.6624965749568954,0.5681625154016496,0.5860054789274755,0.6593218770429221,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/RandomForest/label_encoder.joblib
03_Full_Clean,RandomForest,16,0.5624164063751229,0.6100570144357512,0.6176821983273596,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}","{""n_estimators"": 200, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",0.6706443914081146,0.6070294021696984,0.6580936964614958,0.6127814445965425,0.6650845851299018,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/RandomForest/label_encoder.joblib
02_Basic_Clean,RandomForest,16,0.5599634590919775,0.6053719226146533,0.6140979689366786,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}","{""n_estimators"": 200, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",0.6718377088305489,0.6067762003949185,0.6596163712079097,0.6142167455208694,0.6670173030774801,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/RandomForest/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/RandomForest/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/RandomForest/label_encoder.joblib
01_Raw_Data,XGBoost,15,0.5357621455241299,0.5993062605263306,0.5937873357228196,"{""analyzer"": ""word"", ""max_features"": 70000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""early_stopping_rounds"": 30}",0.6515513126491647,0.587717754159241,0.6716508989027813,0.6177794928924681,0.6603313559723171,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/XGBoost/label_encoder.joblib
02_Basic_Clean,XGBoost,16,0.536892871153593,0.5999845493771622,0.5937873357228196,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""early_stopping_rounds"": 30}",0.6599045346062052,0.5891662023915596,0.6626755855723006,0.6144765221946992,0.6684506285672325,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/XGBoost/label_encoder.joblib
03_Full_Clean,XGBoost,16,0.5457949453977796,0.6052743877194822,0.5985663082437276,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""early_stopping_rounds"": 30}",0.6575178997613366,0.594489865328139,0.670735991707142,0.6188863421441306,0.6671463356362108,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/XGBoost/label_encoder.joblib
04_No_Stopwords,XGBoost,15,0.5345036745313553,0.600417748103565,0.5961768219832736,"{""analyzer"": ""word"", ""max_features"": 70000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""early_stopping_rounds"": 30}",0.6575178997613366,0.5805363532244057,0.6612467312022697,0.6078378948583559,0.6679807323417805,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/XGBoost/label_encoder.joblib
05_Balanced,XGBoost,16,0.5378849076588702,0.6010124092036044,0.6033452807646356,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1}","{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""early_stopping_rounds"": 30}",0.6646778042959427,0.6014790950761211,0.6384493648030689,0.6136848130258474,0.6664117168493592,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/XGBoost/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/XGBoost/vectorizer.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/XGBoost/label_encoder.joblib
