split,model_name,scenario,correct_bool,mean_nsw_density,mean_nsw_count,n_samples
test,LinearSVC,01_Raw_Data,False,0.0797693113441027,1.7277227722772277,202
test,LinearSVC,01_Raw_Data,True,0.07742888419394163,1.6981132075471699,636
test,LogisticRegression,01_Raw_Data,False,0.07942641551217929,1.7114427860696517,201
test,LogisticRegression,01_Raw_Data,True,0.07754075623376387,1.7032967032967032,637
test,RandomForest,05_Balanced,False,0.07339309246886176,1.680327868852459,244
test,RandomForest,05_Balanced,True,0.08029327661138373,1.6851851851851851,594
test,XGBoost,03_Full_Clean,False,0.07901599866307796,1.6898954703832754,287
test,XGBoost,03_Full_Clean,True,0.07790295690246975,1.6805807622504538,551
val,LinearSVC,01_Raw_Data,False,0.0680112593491183,1.6902654867256637,226
val,LinearSVC,01_Raw_Data,True,0.07850254047104649,1.7250409165302782,611
val,LogisticRegression,01_Raw_Data,False,0.0664688054269371,1.673913043478261,230
val,LogisticRegression,01_Raw_Data,True,0.07915613112440627,1.7314662273476111,607
val,RandomForest,05_Balanced,False,0.07228838230009782,1.7345454545454546,275
val,RandomForest,05_Balanced,True,0.07858030164019619,1.6814946619217082,562
val,XGBoost,03_Full_Clean,False,0.07606168918171637,1.6666666666666667,336
val,XGBoost,03_Full_Clean,True,0.07681578261329434,1.7205588822355289,501
