model_name,scenario,test_samples,test_wrong_predictions,test_error_rate,validation_macro_f1,test_macro_f1,test_accuracy
LogisticRegression,01_Raw_Data,838,201,0.2398568019093079,0.6492228034107059,0.6953520112626581,0.7601431980906921
RandomForest,05_Balanced,838,244,0.2911694510739857,0.5795625138085282,0.6139094660469855,0.7088305489260143
XGBoost,03_Full_Clean,838,287,0.3424821002386635,0.5457949453977796,0.6188863421441306,0.6575178997613366
LinearSVC,01_Raw_Data,838,202,0.24105011933174225,0.6455106868731967,0.6866842653985191,0.7589498806682577
