model_name,best_scenario_by_val_macro_f1,accuracy_val,macro_precision_val,macro_recall_val,macro_f1_val,accuracy_test,macro_precision_test,macro_recall_test,macro_f1_test,weighted_f1_test,best_hyperparameters_summary,notes
LogisticRegression,01_Raw_Data,0.7252090800477897,0.6825892795969285,0.6454628248530964,0.6492228034107059,0.7601431980906921,0.7060537477857691,0.6978626797137023,0.6953520112626581,0.7577944724045558,"TF-IDF(analyzer=word, max_features=50000, ngram=(1, 2), min_df=1); Model(C=10.0, solver=lbfgs)",Selected by validation Macro-F1 within model family. Best overall model.
RandomForest,05_Balanced,0.6714456391875747,0.6784194905437447,0.5685872965939912,0.5795625138085282,0.7088305489260143,0.6909558923122733,0.5988246280791605,0.6139094660469855,0.6923009033615655,"TF-IDF(analyzer=word, max_features=20000, ngram=(1, 1), min_df=2); Model(n_estimators=300, max_depth=100, max_features=log2, min_samples_leaf=1)",Selected by validation Macro-F1 within model family.
XGBoost,03_Full_Clean,0.5985663082437276,0.5390839704352304,0.5755736137352679,0.5457949453977796,0.6575178997613366,0.594489865328139,0.670735991707142,0.6188863421441306,0.6671463356362108,"TF-IDF(analyzer=word, max_features=50000, ngram=(1, 2), min_df=3); Model(n_estimators=200, max_depth=5, learning_rate=0.05, subsample=0.9, colsample_bytree=0.9, reg_lambda=2.0, reg_alpha=0.1, early_stopping_rounds=30)",Selected by validation Macro-F1 within model family.
LinearSVC,01_Raw_Data,0.7299880525686977,0.7038876861700615,0.6293811720386197,0.6455106868731967,0.7589498806682577,0.7200668641281994,0.6745112170052825,0.6866842653985191,0.7521593719678343,"TF-IDF(analyzer=word, max_features=50000, ngram=(1, 2), min_df=1); Model(C=2.0, class_weight=None)",Selected by validation Macro-F1 within model family.
