model_name,scenario,accuracy_val,macro_precision_val,macro_recall_val,macro_f1_val,weighted_precision_val,weighted_recall_val,weighted_f1_val,accuracy_test,macro_precision_test,macro_recall_test,macro_f1_test,weighted_precision_test,weighted_recall_test,weighted_f1_test,selection_note
LogisticRegression,01_Raw_Data,0.7252090800477897,0.6825892795969285,0.6454628248530964,0.6492228034107059,0.7356969521303393,0.7252090800477897,0.7244159299705369,0.7601431980906921,0.7060537477857691,0.6978626797137023,0.6953520112626581,0.7609479862908224,0.7601431980906921,0.7577944724045558,Best overall by validation Macro-F1; Best scenario for this model by validation Macro-F1
LogisticRegression,02_Basic_Clean,0.7192353643966547,0.6665998930870358,0.6380062899501273,0.6390892901837698,0.7300883984561565,0.7192353643966547,0.7189633201021761,0.7613365155131265,0.7095220795537344,0.7032857937008301,0.7014169397719718,0.7629020203964876,0.7613365155131265,0.7596283122160987,Best test Macro-F1 reference only; not used for selection
LogisticRegression,03_Full_Clean,0.7204301075268817,0.6592328176454518,0.6363219772189095,0.6366112011131538,0.7295761271602969,0.7204301075268817,0.7203328614672351,0.7601431980906921,0.7011117196229996,0.7059213784431854,0.6996374919851475,0.7611919229253185,0.7601431980906921,0.758708760407235,
LogisticRegression,04_No_Stopwords,0.7168458781362007,0.6668001004163022,0.6281647574080916,0.631380308274802,0.7263883429198815,0.7168458781362007,0.7152732979460692,0.7625298329355609,0.7024714781488265,0.7019208084869606,0.6970909633994529,0.7628672295988802,0.7625298329355609,0.7603750583201664,
LogisticRegression,05_Balanced,0.7204301075268817,0.6720934638549807,0.6380572211145316,0.6407288758820262,0.722441933634382,0.7204301075268817,0.7147082742458003,0.752983293556086,0.6970596922592799,0.6827411712485407,0.6840817950699283,0.7506854174924149,0.752983293556086,0.7487628827133653,
RandomForest,01_Raw_Data,0.6439665471923537,0.7047826828506422,0.5507998072566878,0.5697750815965782,0.6656281399322856,0.6439665471923537,0.6285652488180238,0.6766109785202864,0.6624965749568954,0.5681625154016496,0.5860054789274755,0.672047906474313,0.6766109785202864,0.6593218770429221,
RandomForest,02_Basic_Clean,0.6140979689366786,0.5694773575848571,0.5969428424467909,0.5599634590919775,0.6196371286774773,0.6140979689366786,0.6053719226146533,0.6718377088305489,0.6067762003949185,0.6596163712079097,0.6142167455208694,0.6777538905906366,0.6718377088305489,0.6670173030774801,
RandomForest,03_Full_Clean,0.6176821983273596,0.5604477272125584,0.6017208879398739,0.5624164063751229,0.6244547020275103,0.6176821983273596,0.6100570144357512,0.6706443914081146,0.6070294021696984,0.6580936964614958,0.6127814445965425,0.6778170864147222,0.6706443914081146,0.6650845851299018,
RandomForest,04_No_Stopwords,0.6762246117084827,0.7114997396366721,0.5506501933915555,0.5788321146409138,0.6860099755946085,0.6762246117084827,0.6520380974626894,0.6957040572792362,0.7424111257317066,0.5653150074457826,0.5955628609034089,0.7222745137585774,0.6957040572792362,0.6752261694179976,
RandomForest,05_Balanced,0.6714456391875747,0.6784194905437447,0.5685872965939912,0.5795625138085282,0.6774860386131836,0.6714456391875747,0.6542189025855698,0.7088305489260143,0.6909558923122733,0.5988246280791605,0.6139094660469855,0.7127644831560704,0.7088305489260143,0.6923009033615655,Best scenario for this model by validation Macro-F1
XGBoost,01_Raw_Data,0.5937873357228196,0.5332313768619468,0.560234139613769,0.5357621455241299,0.6189635441806915,0.5937873357228196,0.5993062605263306,0.6515513126491647,0.587717754159241,0.6716508989027813,0.6177794928924681,0.6847082623240355,0.6515513126491647,0.6603313559723171,
XGBoost,02_Basic_Clean,0.5937873357228196,0.5288374360455298,0.5655399884369775,0.536892871153593,0.6198722613275572,0.5937873357228196,0.5999845493771622,0.6599045346062052,0.5891662023915596,0.6626755855723006,0.6144765221946992,0.6901889820896201,0.6599045346062052,0.6684506285672325,
XGBoost,03_Full_Clean,0.5985663082437276,0.5390839704352304,0.5755736137352679,0.5457949453977796,0.6267779629871063,0.5985663082437276,0.6052743877194822,0.6575178997613366,0.594489865328139,0.670735991707142,0.6188863421441306,0.6923172107529728,0.6575178997613366,0.6671463356362108,Best scenario for this model by validation Macro-F1
XGBoost,04_No_Stopwords,0.5961768219832736,0.5243925043513308,0.5677611741222134,0.5345036745313553,0.6219149655086458,0.5961768219832736,0.600417748103565,0.6575178997613366,0.5805363532244057,0.6612467312022697,0.6078378948583559,0.6951740357902424,0.6575178997613366,0.6679807323417805,
XGBoost,05_Balanced,0.6033452807646356,0.5460779258213854,0.549127175495248,0.5378849076588702,0.6088132109178854,0.6033452807646356,0.6010124092036044,0.6646778042959427,0.6014790950761211,0.6384493648030689,0.6136848130258474,0.6748012635862604,0.6646778042959427,0.6664117168493592,
LinearSVC,01_Raw_Data,0.7299880525686977,0.7038876861700615,0.6293811720386197,0.6455106868731967,0.7250787090725531,0.7299880525686977,0.7200920681999244,0.7589498806682577,0.7200668641281994,0.6745112170052825,0.6866842653985191,0.7545405760031645,0.7589498806682577,0.7521593719678343,Best scenario for this model by validation Macro-F1
LinearSVC,02_Basic_Clean,0.7311827956989247,0.707444921899534,0.6310753937370319,0.6453179088603869,0.7280764919043513,0.7311827956989247,0.7209405422417219,0.7577565632458234,0.7278494025378308,0.6799997064561649,0.6938407550075434,0.7547806105982158,0.7577565632458234,0.7520310866886457,
LinearSVC,03_Full_Clean,0.7240143369175627,0.6562051318422449,0.6324093035478682,0.6358476380024054,0.720259555393227,0.7240143369175627,0.7186676331328773,0.7541766109785203,0.6842806120405358,0.6643914977891736,0.6698075696525733,0.7476483218357459,0.7541766109785203,0.7488856574042857,
LinearSVC,04_No_Stopwords,0.7264038231780168,0.6630157288155332,0.6472308641619167,0.6451515048310992,0.7291212020918428,0.7264038231780168,0.7241593774941771,0.7505966587112172,0.674553966046574,0.6654319653924807,0.6671879835126913,0.7487605421809083,0.7505966587112172,0.7480356751313956,
LinearSVC,05_Balanced,0.7204301075268817,0.6990766657258572,0.6323022210998964,0.6389883173487065,0.7221326666226936,0.7204301075268817,0.7108947490352431,0.7494033412887828,0.7065378762478248,0.6861045013152852,0.6876305867776943,0.7466238854679899,0.7494033412887828,0.7434696542286803,
