y_true,y_pred,count,model_name
T02,T12,1,mBERT
T13,T16,1,mBERT
T13,T17,1,mBERT
T14,T02,1,mBERT
T14,T05,1,mBERT
T14,T10,1,mBERT
T14,T13,1,mBERT
T15,T02,1,mBERT
T15,T06,1,mBERT
T15,T17,1,mBERT
T16,T02,1,mBERT
T16,T03,1,mBERT
T16,T12,1,mBERT
T16,T13,1,mBERT
T17,T01,1,mBERT
T17,T04,1,mBERT
T17,T09,1,mBERT
T01,T02,1,XLM-RoBERTa
T01,T04,1,XLM-RoBERTa
T01,T10,1,XLM-RoBERTa
T01,T14,1,XLM-RoBERTa
T01,T17,1,XLM-RoBERTa
T10,T04,1,PhoBERT
T11,T01,1,PhoBERT
T11,T10,1,PhoBERT
T11,T12,1,PhoBERT
T12,T04,1,PhoBERT
T12,T10,1,PhoBERT
T12,T14,1,PhoBERT
T13,T03,1,PhoBERT
T13,T12,1,PhoBERT
T13,T17,1,PhoBERT
T02,T10,1,XLM-RoBERTa
T02,T14,1,XLM-RoBERTa
T02,T16,1,XLM-RoBERTa
T03,T07,1,XLM-RoBERTa
T03,T09,1,XLM-RoBERTa
T03,T12,1,XLM-RoBERTa
T03,T16,1,XLM-RoBERTa
T04,T12,1,XLM-RoBERTa
T05,T01,1,XLM-RoBERTa
T05,T02,1,XLM-RoBERTa
T05,T03,1,XLM-RoBERTa
T06,T01,1,XLM-RoBERTa
T06,T02,1,XLM-RoBERTa
T06,T03,1,XLM-RoBERTa
T06,T07,1,XLM-RoBERTa
T06,T10,1,XLM-RoBERTa
T06,T17,1,XLM-RoBERTa
T07,T12,1,XLM-RoBERTa
T08,T02,1,XLM-RoBERTa
T08,T13,1,XLM-RoBERTa
T09,T04,1,XLM-RoBERTa
T09,T12,1,XLM-RoBERTa
T09,T13,1,XLM-RoBERTa
T01,T17,1,PhoBERT
T01,T14,1,PhoBERT
T01,T13,1,PhoBERT
T13,T17,1,XLM-RoBERTa
