scenario,model_name,text_column,n_train,n_val,n_test,vectorizer_max_features,vectorizer_ngram_range,accuracy_val,macro_precision_val,macro_recall_val,macro_f1_val,weighted_precision_val,weighted_recall_val,weighted_f1_val,micro_precision_val,micro_recall_val,micro_f1_val,accuracy_test,macro_precision_test,macro_recall_test,macro_f1_test,weighted_precision_test,weighted_recall_test,weighted_f1_test,micro_precision_test,micro_recall_test,micro_f1_test,train_time_sec,val_predict_time_sec,test_predict_time_sec,model_path,vectorizer_path,notes,status
01_Raw_Data,LogisticRegression,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7252090800477897,0.6825892795969285,0.6454628248530964,0.6492228034107059,0.7356969521303393,0.7252090800477897,0.7244159299705369,0.7252090800477897,0.7252090800477897,0.7252090800477897,0.7601431980906921,0.7060537477857691,0.6978626797137023,0.6953520112626581,0.7609479862908224,0.7601431980906921,0.7577944724045558,0.7601431980906921,0.7601431980906921,0.7601431980906921,5.295484166999813,0.0023555000000214,0.0015235830001074,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LogisticRegression/vectorizer.joblib,,success
01_Raw_Data,LinearSVC,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7299880525686977,0.7038876861700615,0.6293811720386197,0.6455106868731967,0.7250787090725531,0.7299880525686977,0.7200920681999244,0.7299880525686977,0.7299880525686977,0.7299880525686977,0.7589498806682577,0.7200668641281994,0.6745112170052825,0.6866842653985191,0.7545405760031645,0.7589498806682577,0.7521593719678343,0.7589498806682577,0.7589498806682577,0.7589498806682577,0.77747645799991,0.0004897909998362,0.000392292000015,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/01_Raw_Data/LinearSVC/vectorizer.joblib,,success
02_Basic_Clean,LinearSVC,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7311827956989247,0.707444921899534,0.6310753937370319,0.6453179088603869,0.7280764919043513,0.7311827956989247,0.7209405422417219,0.7311827956989247,0.7311827956989247,0.7311827956989247,0.7577565632458234,0.7278494025378308,0.6799997064561649,0.6938407550075434,0.7547806105982158,0.7577565632458234,0.7520310866886457,0.7577565632458234,0.7577565632458234,0.7577565632458234,0.7626906249997774,0.0004633340004147,0.0003800829999818,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LinearSVC/vectorizer.joblib,,success
04_No_Stopwords,LinearSVC,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7264038231780168,0.6630157288155332,0.6472308641619167,0.6451515048310992,0.7291212020918428,0.7264038231780168,0.7241593774941771,0.7264038231780168,0.7264038231780168,0.7264038231780168,0.7505966587112172,0.674553966046574,0.6654319653924807,0.6671879835126913,0.7487605421809083,0.7505966587112172,0.7480356751313956,0.7505966587112172,0.7505966587112172,0.7505966587112172,0.6752103750004608,0.0005857500000274,0.0003882090004481,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LinearSVC/vectorizer.joblib,,success
05_Balanced,LogisticRegression,post_content_for_labeling,23834.0,837.0,838.0,50000.0,"(1, 2)",0.7204301075268817,0.6720934638549807,0.6380572211145316,0.6407288758820262,0.722441933634382,0.7204301075268817,0.7147082742458003,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.752983293556086,0.6970596922592799,0.6827411712485407,0.6840817950699283,0.7506854174924149,0.752983293556086,0.7487628827133653,0.752983293556086,0.752983293556086,0.752983293556086,6.170165958001235,0.0033383749996573,0.0013356250001379,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LogisticRegression/vectorizer.joblib,"05_Balanced/train: allowed 17810 duplicate record_id rows because balanced train appears oversampled without label/text conflicts; 05_Balanced is an auxiliary balanced-data scenario.; 05_Balanced train split appears label-balanced.; 05_Balanced val/test do not appear perfectly balanced; if only train is balanced, this is a reasonable benchmark setting.",success
02_Basic_Clean,LogisticRegression,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7192353643966547,0.6665998930870358,0.6380062899501273,0.6390892901837698,0.7300883984561565,0.7192353643966547,0.7189633201021761,0.7192353643966547,0.7192353643966547,0.7192353643966547,0.7613365155131265,0.7095220795537344,0.7032857937008301,0.7014169397719718,0.7629020203964876,0.7613365155131265,0.7596283122160987,0.7613365155131265,0.7613365155131265,0.7613365155131265,5.183189666000089,0.0034074589998454,0.0015495419997932,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/02_Basic_Clean/LogisticRegression/vectorizer.joblib,,success
05_Balanced,LinearSVC,post_content_for_labeling,23834.0,837.0,838.0,50000.0,"(1, 2)",0.7204301075268817,0.6990766657258572,0.6323022210998964,0.6389883173487065,0.7221326666226936,0.7204301075268817,0.7108947490352431,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.7494033412887828,0.7065378762478248,0.6861045013152852,0.6876305867776943,0.7466238854679899,0.7494033412887828,0.7434696542286803,0.7494033412887828,0.7494033412887828,0.7494033412887828,2.8838398749994667,0.0009463749993301,0.000604792001468,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/05_Balanced/LinearSVC/vectorizer.joblib,"05_Balanced/train: allowed 17810 duplicate record_id rows because balanced train appears oversampled without label/text conflicts; 05_Balanced is an auxiliary balanced-data scenario.; 05_Balanced train split appears label-balanced.; 05_Balanced val/test do not appear perfectly balanced; if only train is balanced, this is a reasonable benchmark setting.",success
03_Full_Clean,LogisticRegression,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7204301075268817,0.6592328176454518,0.6363219772189095,0.6366112011131538,0.7295761271602969,0.7204301075268817,0.7203328614672351,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.7601431980906921,0.7011117196229996,0.7059213784431854,0.6996374919851475,0.7611919229253185,0.7601431980906921,0.758708760407235,0.7601431980906921,0.7601431980906921,0.7601431980906921,5.029719374999331,0.0036188329995638,0.0010978749996866,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LogisticRegression/vectorizer.joblib,,success
03_Full_Clean,LinearSVC,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 3)",0.7240143369175627,0.6562051318422449,0.6324093035478682,0.6358476380024054,0.720259555393227,0.7240143369175627,0.7186676331328773,0.7240143369175627,0.7240143369175627,0.7240143369175627,0.7541766109785203,0.6842806120405358,0.6643914977891736,0.6698075696525733,0.7476483218357459,0.7541766109785203,0.7488856574042857,0.7541766109785203,0.7541766109785203,0.7541766109785203,1.6303616670002157,0.0007449590002579,0.0004685420008172,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LinearSVC/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/03_Full_Clean/LinearSVC/vectorizer.joblib,,success
04_No_Stopwords,LogisticRegression,post_content_for_labeling,6698.0,837.0,838.0,50000.0,"(1, 2)",0.7168458781362007,0.6668001004163022,0.6281647574080916,0.631380308274802,0.7263883429198815,0.7168458781362007,0.7152732979460692,0.7168458781362007,0.7168458781362007,0.7168458781362007,0.7625298329355609,0.7024714781488265,0.7019208084869606,0.6970909633994529,0.7628672295988802,0.7625298329355609,0.7603750583201664,0.7625298329355609,0.7625298329355609,0.7625298329355609,6.342839834000188,0.0043779580000773,0.0024199999998018,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LogisticRegression/model.joblib,data/08_Modeling_Results/traditional_ml_hpo_deep/04_No_Stopwords/LogisticRegression/vectorizer.joblib,,success
